filename,location,dataset,num_annotators,time_h,time_min,time_sec,total_duration,washing_duration,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_0,ring,armband,long_nails
2020-06-26_18-28-10_camera102.mp4,Ķirurģija,DataSet1,4.0,18.0,28.0,10.0,43.5,32.7,1.1,2.4,2.1,1.5,6.6,3.9,0.0,15.0,0.0,0.0,0.0
2020-06-26_19-05-32_camera102.mp4,Ķirurģija,DataSet1,4.0,19.0,5.0,32.0,53.5,31.6,3.4,1.9,2.0,0.0,3.7,0.0,0.0,20.6,0.0,0.0,0.0
2020-06-26_19-39-32_camera102.mp4,Ķirurģija,DataSet1,4.0,19.0,39.0,32.0,185.8,143.0,15.8,6.3,26.2,18.7,29.7,1.8,0.0,44.5,0.0,0.0,0.0
2020-06-26_19-42-41_camera102.mp4,Ķirurģija,DataSet1,3.0,19.0,42.0,41.0,27.7,27.5,0.8,1.7,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0
2020-06-26_20-09-27_camera102.mp4,Ķirurģija,DataSet1,4.0,20.0,9.0,27.0,63.1,42.6,5.3,5.3,3.0,5.3,6.3,2.3,0.0,15.0,0.0,0.0,0.0
2020-06-26_20-40-27_camera102.mp4,Ķirurģija,DataSet1,4.0,20.0,40.0,27.0,55.4,38.1,1.9,3.1,3.9,5.3,5.9,0.0,0.0,18.1,0.0,0.0,0.0
2020-06-26_21-28-01_camera102.mp4,Ķirurģija,DataSet1,4.0,21.0,28.0,1.0,68.1,50.6,3.6,6.3,2.7,6.6,12.5,2.4,0.0,16.5,0.0,0.0,0.0
2020-06-26_21-51-55_camera102.mp4,Ķirurģija,DataSet1,4.0,21.0,51.0,55.0,44.2,31.8,2.4,3.0,0.7,3.1,9.1,0.0,0.0,13.5,0.0,0.0,0.0
2020-06-26_22-23-10_camera102.mp4,Ķirurģija,DataSet1,4.0,22.0,23.0,10.0,85.9,42.9,3.2,3.4,2.8,8.5,9.5,0.5,0.0,15.1,0.0,0.0,0.0
2020-06-26_23-15-18_camera102.mp4,Ķirurģija,DataSet1,4.0,23.0,15.0,18.0,46.2,37.6,1.9,4.4,2.0,2.2,9.3,0.0,0.7,17.1,0.0,0.0,0.0
2020-06-26_23-24-05_camera102.mp4,Ķirurģija,DataSet1,4.0,23.0,24.0,5.0,168.8,147.3,10.7,0.0,28.3,18.0,28.0,20.2,0.0,42.2,0.0,0.0,0.0
2020-06-26_23-57-45_camera102.mp4,Ķirurģija,DataSet1,4.0,23.0,57.0,45.0,42.7,35.3,2.0,2.5,0.9,5.9,4.3,0.3,1.0,18.4,0.0,0.0,0.0
2020-06-27_01-16-32_camera102.mp4,Ķirurģija,DataSet1,4.0,1.0,16.0,32.0,34.3,23.2,2.0,1.9,0.0,2.0,8.9,0.0,0.0,8.4,0.0,0.0,0.0
2020-06-27_02-12-36_camera102.mp4,Ķirurģija,DataSet1,3.0,2.0,12.0,36.0,72.8,55.0,3.0,6.8,2.5,3.1,5.0,0.5,1.6,32.5,0.0,0.0,0.0
2020-06-27_07-57-26_camera102.mp4,Ķirurģija,DataSet1,4.0,7.0,57.0,26.0,141.8,113.8,16.1,0.0,40.0,0.0,23.5,3.1,0.0,31.2,0.0,0.0,0.0
2020-06-27_08-00-45_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,0.0,45.0,44.7,33.0,1.7,3.6,5.4,2.5,3.7,0.0,0.0,16.2,0.0,0.0,0.0
2020-06-27_08-20-58_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,20.0,58.0,50.3,42.3,5.9,4.0,4.1,1.6,5.6,0.0,0.7,20.5,0.0,0.0,0.0
2020-06-27_08-38-41_camera102.mp4,Ķirurģija,DataSet1,4.0,8.0,38.0,41.0,46.0,36.0,3.7,4.4,2.1,2.3,3.8,0.0,0.0,19.7,1.0,0.0,0.0
2020-06-27_09-45-07_camera102.mp4,Ķirurģija,DataSet1,4.0,9.0,45.0,7.0,66.3,49.7,2.6,8.8,3.3,6.6,3.9,3.1,0.6,20.9,0.0,0.0,0.0
